@id,amenity,@lat,@lon,opening_hours,brand,fee,service:bicycle:pump,service:bicycle:tools
5741907080,bicycle_repair_station,35.0196765,-85.3237756,24/7,Dero,,yes,yes
5764372088,bicycle_repair_station,35.0504383,-85.3236950,,,,,
10157387077,bicycle_repair_station,35.0409244,-85.3075569,,,no,yes,
12186820014,bicycle_repair_station,35.0081450,-85.3281720,,,no,yes,yes
12187024522,bicycle_repair_station,35.0614180,-85.3065636,,,,,
12737780368,bicycle_repair_station,35.0085861,-85.3231660,,,no,yes,yes
